web-scraper-order,web-scraper-start-url,link,link-href,title,price,ratings,num_rates,screen_size,refresh_rate,chipset,GPU,sim_slot,RAM,internal_storage,battery,operating_system,type
1742968382-105,https://cellphones.com.vn/mobile.html,"Tecno POP 5 LTE 6.52 inches2 GB32 GB  Trả góp 0%  
    :
   
      2.150.000đ
     
        2.390.000đ
       
          Giảm 10%
           Smember giảm thêm
            đến 22.000đ 
            S-Student giảm thêm đến 108.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/tecno-pop-5-lte.html,Tecno POP 5 LTE,2.150.000₫,,,6.52 inches,"Điện dung đa điểm, Độ sáng tối đa	480 nits,  Tần số quét 60 Hz, 	16.7 Triệu màu",Unisoc SC9863A (28nm),,2 SIM (Nano-SIM),2 GB,32 GB,5000 mAh,Android 11 (Go edition),https://cellphones.com.vn/mobile/tecno.html
1742968392-106,https://cellphones.com.vn/mobile.html,"Tecno Camon 30 12GB 256GB 6.78 inches12 GB256 GB  Trả góp 0%  
    :
   
      5.690.000đ
     
        6.990.000đ
       
          Giảm 19%
           Smember giảm thêm
            đến 57.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-tecno-camon-30-12gb-256gb.html,Tecno Camon 30 12GB 256GB,5.690.000 đ,4.7/5,30,6.78 inches,Tần số quét 120Hz,Helio G99 Ultimate(6nm),ARM Mali-G57 MC2,Nano-SIM,12 GB,256 GB,5000 mAh,Android 14 (Upside Down Cake),https://cellphones.com.vn/mobile/tecno.html
1742968401-107,https://cellphones.com.vn/mobile.html,"TECNO SPARK Go 1 4GB 64GB 6.67 inches4 GB64 GB  Trả góp 0%  
    :
   
      2.190.000đ
     
        2.490.000đ
       
          Giảm 12%
           Smember giảm thêm
            đến 22.000đ 
            S-Student giảm thêm đến 110.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-tecno-spark-go-1.html,TECNO SPARK Go 1 4GB 64GB,2.190.000₫,4.9/5,9,6.67 inches,120Hz,Unisoc T615,,2 Nano-SIM,4 GB,64 GB,5000mAh,,https://cellphones.com.vn/mobile/tecno.html
1742968410-108,https://cellphones.com.vn/mobile.html,"TECNO POVA 5 8GB 256GB 6.78 inches8 GB256 GB  Trả góp 0%  
    :
   
      3.890.000đ
     
        5.290.000đ
       
          Giảm 26%
           Smember giảm thêm
            đến 39.000đ 
            S-Student giảm thêm đến 195.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/tecno-pova-5-8gb-256gb.html,TECNO POVA 5 8GB 256GB,3.890.000 đ,4.9/5,15,6.78 inches,"Tần số quét 120Hz, tần số cảm ứng 240Hz, 580 nits",Mediatek MT8781 Helio G99 (6nm),Mali-G52 MC2,2 SIM (Nano-SIM),8 GB,256 GB,6000mAh,Android 13,https://cellphones.com.vn/mobile/tecno.html
1742968419-109,https://cellphones.com.vn/mobile.html,"TECNO SPARK 20PRO+ 8GB 256GB 6.78 inches8GB + Mở rộng 8GB256 GB  Trả góp 0%  
    :
   
      4.590.000đ
     
        5.490.000đ
       
          Giảm 16%
           Smember giảm thêm
            đến 46.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/tecno-spark-20-pro-plus.html,TECNO SPARK 20PRO+ 8GB 256GB,4.590.000₫,4.9/5,31,6.78 inches,"Tần số quét 120Hz, 1000 nit, 1.07 tỷ màu, Kính Cường Lực Corning Gorilla Glass 5",Mediatek Helio G99,,2 SIM (Nano-SIM),8GB + Mở rộng 8GB,256 GB,5000mAh,Android 14,https://cellphones.com.vn/mobile/tecno.html
1742968428-110,https://cellphones.com.vn/mobile.html,"TECNO SPARK 30C 4GB 128GB 6.67 inches4GB + Mở rộng 4GB128 GB  Trả góp 0%  
    :
   
      2.490.000đ
     
        2.890.000đ
       
          Giảm 14%
           Smember giảm thêm
            đến 25.000đ 
            S-Student giảm thêm đến 125.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-tecno-spark-30c.html,TECNO SPARK 30C 4GB 128GB,2.490.000₫,4.9/5,16,6.67 inches,120Hz,MediaTek Helio G81,"MT676 
 G52 MC2 @820MHz",,4GB + Mở rộng 4GB,128 GB,5000 mAh,Android 14,https://cellphones.com.vn/mobile/tecno.html
1742968438-111,https://cellphones.com.vn/mobile.html,"Tecno Camon 30 8GB 256GB 6.78 inches8 GB256 GB  Trả góp 0%  
    :
   
      5.190.000đ
     
        6.490.000đ
       
          Giảm 20%
           Smember giảm thêm
            đến 52.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/tecno-camon-30.html,Tecno Camon 30 8GB 256GB,5.190.000 đ,4.9/5,29,6.78 inches,Tần số quét 120Hz,Helio G99 Ultimate(6nm),ARM Mali-G57 MC2,Nano-SIM,8 GB,256 GB,5000 mAh,Android 14 (Upside Down Cake),https://cellphones.com.vn/mobile/tecno.html
1742968446-112,https://cellphones.com.vn/mobile.html,"Tecno Pova 6 8GB 256GB 6.78 inches8 GB256 GB  Trả góp 0%  
    :
   
      5.890.000đ
     
        6.490.000đ
       
          Giảm 9%
           Smember giảm thêm
            đến 59.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/tecno-pova-6.html,Tecno Pova 6 8GB 256GB,5.890.000 đ,4.9/5,23,6.78 inches,120Hz,MediaTek G99 Ultimate,Mali-G57 3D Graphics,2 Nano-SIM,8 GB,256 GB,6.000 mAh,Android 14,https://cellphones.com.vn/mobile/tecno.html
1742968455-113,https://cellphones.com.vn/mobile.html,"Tecno Pova 6 Neo 8GB 128GB 6.78 inches8 GB128 GB  Trả góp 0%  
    :
   
      3.990.000đ
     
        4.590.000đ
       
          Giảm 13%
           Smember giảm thêm
            đến 40.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/tecno-pova-6-neo.html,Tecno Pova 6 Neo 8GB 128GB,3.990.000 đ,4.9/5,80,6.78 inches,120Hz,MediaTek Helio G99 Ultimate,ARM MAli-G57,2 Nano-SIM,8 GB,128 GB,7000 mAh,Android 14,https://cellphones.com.vn/mobile/tecno.html
1742968463-114,https://cellphones.com.vn/mobile.html,"TECNO SPARK 30 5G 6GB 128GB 6GB + Mở rộng 6GB128 GB  Trả góp 0%  
    :
   
      4.090.000đ
     
        4.490.000đ
       
          Giảm 9%
           Smember giảm thêm
            đến 41.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-tecno-spark-30-5g.html,TECNO SPARK 30 5G 6GB 128GB,4.090.000₫,,,,,MediaTek D6300,,,6GB + Mở rộng 6GB,128 GB,5000mAh,,https://cellphones.com.vn/mobile/tecno.html
1742968472-115,https://cellphones.com.vn/mobile.html,"TECNO CAMON 30S 8GB 256GB 6.78 inches8 GB256 GB  Trả góp 0%  
    :
   
      4.650.000đ
     
        5.490.000đ
       
          Giảm 15%
           Smember giảm thêm
            đến 47.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-tecno-camon-30s.html,TECNO CAMON 30S 8GB 256GB,4.650.000₫,4.8/5,59,6.78 inches,120Hz,Mediatek G100,,2 SIM (Nano-SIM),8 GB,256 GB,5000mAh,Android 14,https://cellphones.com.vn/mobile/tecno.html
1742968481-116,https://cellphones.com.vn/mobile.html,"TECNO SPARK 30 Pro 8GB 256GB Transformer - Chỉ có tại CellphoneS 6.78 inches8 GB256 GB  Trả góp 0%  
    :
   
      4.590.000đ
     
        5.290.000đ
       
          Giảm 13%
           Smember giảm thêm
            đến 46.000đ 
            S-Student giảm thêm đến 200.000đ 
              Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng",https://cellphones.com.vn/dien-thoai-tecno-spark-30-pro-8gb-256gb.html,TECNO SPARK 30 Pro 8GB 256GB Transformer - Chỉ có tại CellphoneS,4.590.000₫,4.6/5,9,6.78 inches,,MediaTek Helio G100,,2 Nano-SIM,8 GB,256 GB,5000 mAh,Android 14,https://cellphones.com.vn/mobile/tecno.html
1742968498-117,https://cellphones.com.vn/mobile.html,"Vivo X Fold Plus  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-x-fold-plus.html,Vivo X Fold Plus,,,,8.3 inches,,Snapdragon 8+ Gen 1,,,12 GB,256 GB,4.730 mAh,,https://cellphones.com.vn/mobile/vivo/x-series.html
1742968508-118,https://cellphones.com.vn/mobile.html,"Vivo X80 Lite   
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-x80-lite.html,Vivo X80 Lite,,,,6.5 inches,,Snapdragon 7 Gen 1.,,,8 GB,128 GB,4.500 mAh,,https://cellphones.com.vn/mobile/vivo/x-series.html
1742968517-119,https://cellphones.com.vn/mobile.html,"vivo X Note  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-x-note.html,vivo X Note,,5.0/5,1,7.0 inches,120Hz,Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),Adreno 730,Nano-SIM,8 GB,256 GB,Li-Po 5000 mAh (Không thể tháo rời),"Android 12  
 Origin OS Ocean",https://cellphones.com.vn/mobile/vivo/x-series.html
1742968529-120,https://cellphones.com.vn/mobile.html,"vivo V40 Lite  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-vivo-v40-lite.html,vivo V40 Lite,,,,6.67 inches,,Snapdragon® 685 4G,Số nhân CPU  8 nhân,2 Nano-SIM,8 GB,256 GB,5000 mAh,Android 14,https://cellphones.com.vn/mobile/vivo/v-series.html
1742968543-121,https://cellphones.com.vn/mobile.html,"Vivo Y52  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-y52.html,Vivo Y52,,,,6.58 inches,,Dimensity 700,,2 SIM (Nano-SIM),4 GB,128 GB,5000mAh,Funtouch 11.1,https://cellphones.com.vn/mobile/vivo/y-series.html
1742968552-122,https://cellphones.com.vn/mobile.html,"Vivo Y77e 5G  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-y77e.html,Vivo Y77e 5G,,,,6.58 inches,,Dimensity 810 (6 nm),Mali-G57 MC2,2 SIM (Nano-SIM),6 GB,128 GB,Li-Po 5000 mAh,Android 12,https://cellphones.com.vn/mobile/vivo/y-series.html
1742968561-123,https://cellphones.com.vn/mobile.html,"Vivo Y56  
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-y56.html,Vivo Y56,,,,6.58 inches,,Dimensity 700 (7 nm),Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/vivo/y-series.html
1742968571-124,https://cellphones.com.vn/mobile.html,"vivo Y03 4GB 128GB 6.56 inches4 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.890.000đ",https://cellphones.com.vn/dien-thoai-vivo-y03-4gb-128gb.html,vivo Y03 4GB 128GB,,,,6.56 inches,,,Mali-G52,2 Nano-SIM,4 GB,128 GB,5000 mAh (TYP),"Funtouch OS 14.0, Android 14",https://cellphones.com.vn/mobile/vivo.html
1742968580-125,https://cellphones.com.vn/mobile.html,"Vivo Y52t 6.51 inches8 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/vivo-y52t.html,Vivo Y52t,,,,6.51 inches,,MediaTek MT6833 Mật độ 700 (7 nm),Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,128 GB,5000 mAh,Android 12,https://cellphones.com.vn/mobile/vivo.html
1742968590-126,https://cellphones.com.vn/mobile.html,"vivo Y36 8GB 256GB 6.64 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-vivo-y36-8gb-256gb.html,vivo Y36 8GB 256GB,5.390.000₫,,,6.64 inches,Tần số quét 90 Hz,Qualcomm Snapdragon 680 8 nhân,Adreno 610,2 SIM (Nano-SIM),8 GB,256 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/vivo.html
1742968599-127,https://cellphones.com.vn/mobile.html,"vivo Y22S 4GB 128GB 6.55 inches4 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      4.290.000đ
     
        5.290.000đ
       
          Giảm 19%
           Smember giảm thêm
            đến 43.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-y22s-4g-128gb.html,vivo Y22S 4GB 128GB,4.290.000 đ,,,6.55 inches,,Qualcomm Snapdragon 680,,2 SIM (Nano-SIM),4 GB,128 GB,5000 mAh,Funtouch OS 12,https://cellphones.com.vn/mobile/vivo.html
1742968609-128,https://cellphones.com.vn/mobile.html,"vivo Y03t 4GB 64GB 6.56 inches4 GB64 GB  Trả góp 0%  
    :
   
      2.990.000đ
        Smember giảm thêm
            đến 30.000đ 
            S-Student giảm thêm đến 150.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-vivo-y03t.html,vivo Y03t 4GB 64GB,2.990.000₫,,,6.56 inches,90Hz,T612,,2 SIM (Nano-SIM),4 GB,64 GB,5000mAh (TYP),"Android 14, Funtouch OS 14",https://cellphones.com.vn/mobile/vivo.html
1742968618-129,https://cellphones.com.vn/mobile.html,"vivo Y02t 4GB 64GB 6.51 inches4 GB64 GB  Trả góp 0%  
    :
   
      2.790.000đ
     
        2.390.000đ
       
          Giảm -17%
           Smember giảm thêm
            đến 28.000đ 
            S-Student giảm thêm đến 140.000đ",https://cellphones.com.vn/vivo-y02t.html,vivo Y02t 4GB 64GB,2.790.000₫,,,6.51 inches,"Tần số quét 60 Hz,  400 nits, Kính cường lực Panda",MediaTek Helio P35 8 nhân,IMG PowerVR GE8320,2 SIM (Nano-SIM),4 GB,64 GB,5.000 mAh,Android 13 (Go Edition),https://cellphones.com.vn/mobile/vivo.html
1742968630-130,https://cellphones.com.vn/mobile.html,"vivo Y17s 4GB 64GB  6.56 inches4 GB64 GB  Trả góp 0%  
    :
   
      3.090.000đ
     
        3.390.000đ
       
          Giảm 9%
           Smember giảm thêm
            đến 31.000đ 
            S-Student giảm thêm đến 155.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-vivo-y17s-4gb-64gb.html,vivo Y17s 4GB 64GB,3.090.000₫,,,6.56 inches,90Hz,MediaTek Helio G85,Mali-G52,2 SIM (Nano-SIM),4 GB,64 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/vivo.html
1742968639-131,https://cellphones.com.vn/mobile.html,"vivo Y03t 4GB 128GB 6.56 inches4 GB128 GB  Trả góp 0%  
    :
   
      3.190.000đ
     
        3.290.000đ
       
          Giảm 3%
           Smember giảm thêm
            đến 32.000đ 
            S-Student giảm thêm đến 160.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-vivo-y03t-128gb.html,vivo Y03t 4GB 128GB,3.190.000₫,,,6.56 inches,90Hz,T612,,2 SIM (Nano-SIM),4 GB,128 GB,5000mAh (TYP),"Android 14, Funtouch OS 14",https://cellphones.com.vn/mobile/vivo.html
1742968649-132,https://cellphones.com.vn/mobile.html,"vivo Y16 4GB 128GB 6.51 inches4GB + Mở rộng 1GB128 GB  Trả góp 0%  
    :
   
      3.690.000đ
     
        4.490.000đ
       
          Giảm 18%
           Smember giảm thêm
            đến 37.000đ 
            S-Student giảm thêm đến 185.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-y16.html,vivo Y16 4GB 128GB,3.690.000₫,5.0/5,2,6.51 inches,,MediaTek Helio P35 8 nhân,IMG PowerVR GE8320,2 SIM (Nano-SIM),4GB + Mở rộng 1GB,128 GB,5.000 mAh,Android 12 với giao diện FunTouch OS 12,https://cellphones.com.vn/mobile/vivo.html
1742968658-133,https://cellphones.com.vn/mobile.html,"vivo Y04 6GB 128GB 6.74 inches6 GB128 GB  Trả góp 0%  
    :
   
      3.790.000đ
     
        3.990.000đ
       
          Giảm 5%
           Smember giảm thêm
            đến 38.000đ 
            S-Student giảm thêm đến 190.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-vivo-y04-6gb-128gb.html,vivo Y04 6GB 128GB,3.790.000 đ,,,6.74 inches,,Unisoc T7225 8 nhân,Mali-G52,2 Nano-SIM,6 GB,128 GB,5500mAh,Funtouch OS 14 phiên bản Android 14,https://cellphones.com.vn/mobile/vivo.html
1742968666-134,https://cellphones.com.vn/mobile.html,"vivo Y04 4GB 64GB 6.74 inches4 GB64 GB  Trả góp 0%  
    :
   
      2.990.000đ
        Smember giảm thêm
            đến 30.000đ 
            S-Student giảm thêm đến 150.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-vivo-y04-4gb-64gb.html,vivo Y04 4GB 64GB,2.990.000 đ,,,6.74 inches,,Unisoc T7225 8 nhân,Mali-G52,2 Nano-SIM,4 GB,64 GB,5500 mAh,Funtouch OS 14 phiên bản Android 14,https://cellphones.com.vn/mobile/vivo.html
1742968675-135,https://cellphones.com.vn/mobile.html,"vivo Y36 8GB 256GB 6.64 inches8 GB256 GB  Trả góp 0%  
    :
   
      5.390.000đ
     
        6.190.000đ
       
          Giảm 13%
           Smember giảm thêm
            đến 54.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-y36-256gb.html,vivo Y36 8GB 256GB,5.390.000₫,,,6.64 inches,Tần số quét 90 Hz,Qualcomm Snapdragon 680 8 nhân,Adreno 610,2 SIM (Nano-SIM),8 GB,256 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/vivo.html
1742968684-136,https://cellphones.com.vn/mobile.html,"vivo V25e 8GB 128GB 6.44 inches8 GB128 GB  Trả góp 0%  
    :
   
      5.690.000đ
     
        8.490.000đ
       
          Giảm 33%
           Smember giảm thêm
            đến 57.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-v25e.html,vivo V25e 8GB 128GB,5.690.000 đ,5.0/5,3,6.44 inches,"1300 nits, Tần số quét 90 Hz, Kính cường lực Schott Xensation UP",MediaTek Helio G99,Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,128 GB,4500mAh,Android 12,https://cellphones.com.vn/mobile/vivo.html
1742968693-137,https://cellphones.com.vn/mobile.html,"vivo Y03 4GB 64GB 6.56 inches4GB + Mở rộng 4GB64 GB  Trả góp 0%  
    :
   
      2.990.000đ
        Smember giảm thêm
            đến 30.000đ 
            S-Student giảm thêm đến 150.000đ Quyền lợi bảo hành Vip 12 tháng 1 đổi 1 tại CellphoneS",https://cellphones.com.vn/dien-thoai-vivo-y03.html,vivo Y03 4GB 64GB,2.990.000₫,,,6.56 inches,90Hz,MediaTek Helio G85,Mali-G52 MC2,2 SIM (Nano-SIM),4GB + Mở rộng 4GB,64 GB,5000 mAh,"Android 14, Funtouch OS 14",https://cellphones.com.vn/mobile/vivo.html
1742968703-138,https://cellphones.com.vn/mobile.html,"vivo Y18S 6GB 128GB 6.56 inches6 GB128 GB  Trả góp 0%  
    :
   
      3.990.000đ
     
        4.190.000đ
       
          Giảm 5%
           Smember giảm thêm
            đến 40.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-vivo-y18s.html,vivo Y18S 6GB 128GB,3.990.000₫,5.0/5,1,6.56 inches,90Hz,Helio G85,Mali-G52 MC2,2 SIM (Nano-SIM),6 GB,128 GB,5000 mAh,Android 14,https://cellphones.com.vn/mobile/vivo.html
1742968712-139,https://cellphones.com.vn/mobile.html,"vivo Y17s 4GB 128GB 6.56 inches4 GB128 GB  Trả góp 0%  
    :
   
      3.190.000đ
     
        3.790.000đ
       
          Giảm 16%
           Smember giảm thêm
            đến 32.000đ 
            S-Student giảm thêm đến 160.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-y17s.html,vivo Y17s 4GB 128GB,3.190.000₫,4.6/5,7,6.56 inches,90Hz,MediaTek Helio G85,,2 SIM (Nano-SIM),4 GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/vivo.html
1742968721-140,https://cellphones.com.vn/mobile.html,"vivo Y19S 8GB 128GB  6.68 inches8 GB128 GB  Trả góp 0%  
    :
   
      4.590.000đ
     
        4.790.000đ
       
          Giảm 4%
           Smember giảm thêm
            đến 46.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-vivo-y19s.html,vivo Y19S 8GB 128GB,4.590.000₫,,,6.68 inches,90Hz,T612,,2 Nano-SIM,8 GB,128 GB,5500mAh (TYP),Android 14,https://cellphones.com.vn/mobile/vivo.html
1742968730-141,https://cellphones.com.vn/mobile.html,"vivo Y36 8GB 128GB 6.64 inches8 GB128 GB  Trả góp 0%  
    :
   
      4.990.000đ
     
        5.190.000đ
       
          Giảm 4%
           Smember giảm thêm
            đến 50.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-y36.html,vivo Y36 8GB 128GB,4.990.000 đ,4.7/5,6,6.64 inches,"Tần số quét 90 Hz, 650 nits
 Kính cường lực",Qualcomm Snapdragon 680 8 nhân,Adreno 610,2 SIM (Nano-SIM),8 GB,128 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/vivo.html
1742968741-142,https://cellphones.com.vn/mobile.html,"vivo V30E 12GB 256GB 6.78 inches12 GB256 GB  Trả góp 0%  
    :
   
      8.990.000đ
     
        10.490.000đ
       
          Giảm 14%
           Smember giảm thêm
            đến 90.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-vivo-v30e.html,vivo V30E 12GB 256GB,8.990.000₫,,,6.78 inches,"395 PPI, 1 tỷ màu
 Tần số quét 120Hz, 1300 nits",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Adreno 710,2 SIM (Nano-SIM),12 GB,256 GB,5500 mAh,Android 14 OS,https://cellphones.com.vn/mobile/vivo.html
1742968750-143,https://cellphones.com.vn/mobile.html,"Vivo Y100 6.67 inches8 GB256 GB  Trả góp 0%  
    :
   
      6.490.000đ
     
        7.690.000đ
       
          Giảm 16%
           Smember giảm thêm
            đến 65.000đ 
            S-Student giảm thêm đến 200.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/vivo-y100.html,Vivo Y100,6.490.000₫,,,6.67 inches,"Tần số quét 120 Hz,  394 ppi, 107% NTSC, 1800 nits, 100% DCI-P3",Snapdragon 685 8 nhân,Adreno 610,2 SIM (Nano-SIM),8 GB,256 GB,5000 mAh,"Android 14, Funtouch OS 14",https://cellphones.com.vn/mobile/vivo.html
1742968762-144,https://cellphones.com.vn/mobile.html,"Infinix HOT 50i 4GB 128GB 6.7 inches4 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-infinix-hot-50i.html,Infinix HOT 50i 4GB 128GB,,,,6.7 inches,,MediaTek Helio G81,,2 Nano-SIM,4 GB,128 GB,"5,000mAh",Android 14 Go,https://cellphones.com.vn/mobile/infinix.html
1742968771-145,https://cellphones.com.vn/mobile.html,"Infinix Note 30 Pro 6.78 inches8GB + Mở rộng 8GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/infinix-note-30-pro.html,Infinix Note 30 Pro,,4.0/5,1,6.78 inches,"Tần số quét 120Hz, 900 nits, 1 tỷ màu",Mediatek Helio G99 (6nm),Mali-G57 MC2,2 SIM (Nano-SIM),8GB + Mở rộng 8GB,256 GB,5.000 mAh,Android 13,https://cellphones.com.vn/mobile/infinix.html
1742968781-146,https://cellphones.com.vn/mobile.html,"Infinix Hot 50 Pro 8GB 256GB 6.78 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      Giá Liên Hệ",https://cellphones.com.vn/dien-thoai-infinix-hot-50-pro.html,Infinix Hot 50 8GB 256GB,3.790.000₫,5.0/5,4,6.78 inches,120Hz,MediaTek Helio G100,,2 SIM (Nano-SIM),8 GB,256 GB,"5,000 mAh",Android 14,https://cellphones.com.vn/mobile/infinix.html
1742968793-147,https://cellphones.com.vn/mobile.html,"Infinix Hot 40i 4GB 128GB 6.56 inches4 GB128 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      2.290.000đ
     
        2.390.000đ
       
          Giảm 4%
           Smember giảm thêm
            đến 23.000đ 
            S-Student giảm thêm đến 115.000đ",https://cellphones.com.vn/dien-thoai-infinix-hot-40i.html,Infinix Hot 40i 4GB 128GB,2.290.000 đ,5.0/5,28,6.56 inches,"Tần số quét 60/90Hz, 480 nits, Gamut phổ màu DCI-P3",Unisoc T606 (12 nm),"Mali-G57 MC2, 650MHz",2 SIM (Nano-SIM),4 GB,128 GB,5000 mAh,Android 13,https://cellphones.com.vn/mobile/infinix.html
1742968801-148,https://cellphones.com.vn/mobile.html,"Infinix Note 40 Pro 8GB 256GB 6.78 inches8 GB256 GB 
          Sắp về hàng Trả góp 0%  
    :
   
      5.790.000đ
     
        5.990.000đ
       
          Giảm 3%
           Smember giảm thêm
            đến 58.000đ 
            S-Student giảm thêm đến 290.000đ 
              Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",https://cellphones.com.vn/dien-thoai-infinix-note-40-pro.html,Infinix Note 40 Pro 8GB 256GB,5.790.000₫,4.8/5,17,6.78 inches,"93.80%, 550nit 
 Tần số quét 120Hz 
 Kính cường lực 3D Corning Gorilla",MediaTek Helio G99 Ultimate,Mali-G57 MC2,2 SIM (Nano-SIM),8 GB,256 GB,5000 mAh,XOS 14,https://cellphones.com.vn/mobile/infinix.html
